InvoiceNo,Stockcode,Description,Initialstock,Quantity,InvoiceDate,UnitPrice,RetailPrice,CustomerID,Country
536592,84559,3D SHEET OF DOG STICKERS,603,1,12/13/2020,1.69,3.09,Visiting,United Kingdom
536592,85131,BEADED CRYSTAL HEART GREEN ON STICK,629,1,12/13/2020,0.85,1.9,Visiting,United Kingdom
536544,85131,BEADED CRYSTAL HEART GREEN ON STICK,629,2,12/13/2020,0.85,1.9,Visiting,United Kingdom
536544,22141,CHRISTMAS CRAFT TREE TOP ANGEL,2962,4,12/13/2020,4.21,6.64,Visiting,United Kingdom
536592,22141,CHRISTMAS CRAFT TREE TOP ANGEL,2962,4,12/13/2020,4.21,6.64,Visiting,United Kingdom
536412,22141,CHRISTMAS CRAFT TREE TOP ANGEL,2962,1,12/13/2020,2.1,3.67,17920,United Kingdom
536412,22141,CHRISTMAS CRAFT TREE TOP ANGEL,2962,1,12/13/2020,2.1,3.67,17920,United Kingdom
536587,21098,CHRISTMAS TOILET ROLL,3861,12,12/13/2020,1.25,2.47,14142,United Kingdom
536544,21098,CHRISTMAS TOILET ROLL,3861,23,12/13/2020,2.51,4.24,Visiting,United Kingdom
536592,21098,CHRISTMAS TOILET ROLL,3861,22,12/13/2020,2.51,4.24,Visiting,United Kingdom
536522,21098,CHRISTMAS TOILET ROLL,3861,2,12/13/2020,1.25,2.47,15012,United Kingdom
536557,21098,CHRISTMAS TOILET ROLL,3861,2,12/13/2020,1.25,2.47,17841,United Kingdom
536592,21340,CLASSIC METAL BIRDCAGE PLANT HOLDER,1223,1,12/13/2020,25.49,36.65,Visiting,United Kingdom
536569,21340,CLASSIC METAL BIRDCAGE PLANT HOLDER,1223,1,12/13/2020,12.75,18.68,16274,United Kingdom
536590,21340,CLASSIC METAL BIRDCAGE PLANT HOLDER,1223,1,12/13/2020,12.75,18.68,13065,United Kingdom
536384,21340,CLASSIC METAL BIRDCAGE PLANT HOLDER,1223,2,12/13/2020,12.75,18.68,18074,United Kingdom
536544,84536,FAIRY CAKES NOTEBOOK A7 SIZE,2209,3,12/13/2020,0.85,1.9,Visiting,United Kingdom
536592,84536,FAIRY CAKES NOTEBOOK A7 SIZE,2209,1,12/13/2020,0.85,1.9,Visiting,United Kingdom
536592,17084,FAIRY DREAMS INCENSE ,1546,2,12/13/2020,0.43,1.31,Visiting,United Kingdom
536460,84849,FAIRY SOAP SOAP HOLDER,341,12,12/13/2020,1.69,3.09,14849,United Kingdom
536592,22260,FELT EGG COSY BLUE RABBIT ,753,2,12/13/2020,1.66,3.05,Visiting,United Kingdom
536591,22260,FELT EGG COSY BLUE RABBIT ,753,5,12/13/2020,0.85,1.9,14606,United Kingdom
536366,22633,HAND WARMER UNION JACK,5091,6,12/13/2020,1.85,3.31,17850,United Kingdom
536372,22633,HAND WARMER UNION JACK,5091,6,12/13/2020,1.85,3.31,17850,United Kingdom
536377,22633,HAND WARMER UNION JACK,5091,6,12/13/2020,1.85,3.31,17850,United Kingdom
536394,22633,HAND WARMER UNION JACK,5091,96,12/13/2020,1.85,3.31,13408,United Kingdom
536399,22633,HAND WARMER UNION JACK,5091,6,12/13/2020,1.85,3.31,17850,United Kingdom
536407,22633,HAND WARMER UNION JACK,5091,6,12/13/2020,1.85,3.31,17850,United Kingdom
536409,22633,HAND WARMER UNION JACK,5091,1,12/13/2020,2.1,3.67,17908,United Kingdom
536477,22633,HAND WARMER UNION JACK,5091,12,12/13/2020,2.1,3.67,16210,United Kingdom
536514,22633,HAND WARMER UNION JACK,5091,36,12/13/2020,2.1,3.67,17951,United Kingdom
536520,22633,HAND WARMER UNION JACK,5091,3,12/13/2020,2.1,3.67,14729,United Kingdom
536544,22633,HAND WARMER UNION JACK,5091,3,12/13/2020,2.1,3.67,Visiting,United Kingdom
536544,20996,JAZZ HEARTS ADDRESS BOOK,3284,1,12/13/2020,0.84,1.89,Visiting,United Kingdom
536464,22663,JUMBO BAG DOLLY GIRL DESIGN,3520,1,12/13/2020,1.95,3.45,17968,United Kingdom
536592,22663,JUMBO BAG DOLLY GIRL DESIGN,3520,3,12/13/2020,4.21,6.64,Visiting,United Kingdom
536551,22663,JUMBO BAG DOLLY GIRL DESIGN,3520,4,12/13/2020,1.95,3.45,17346,United Kingdom
536385,22663,JUMBO BAG DOLLY GIRL DESIGN,3520,10,12/13/2020,1.95,3.45,17420,United Kingdom
536591,90214,"LETTER ""M"" BLING KEY RING",313,1,12/13/2020,1.25,2.47,14606,United Kingdom
536570,21781,MA CAMPAGNE CUTLERY BOX,255,2,12/13/2020,14.95,21.78,14496,United Kingdom
536464,10125,MINI FUNKY DESIGN TAPES,1546,2,12/13/2020,0.85,1.9,17968,United Kingdom
536592,17014,ORIGAMI VANILLA INCENSE CONES,159,1,12/13/2020,3.36,5.44,Visiting,United Kingdom
536425,22637,PIGGY BANK RETROSPOT ,2903,12,12/13/2020,2.55,4.3,13758,United Kingdom
536592,22637,PIGGY BANK RETROSPOT ,2903,1,12/13/2020,5.06,7.84,Visiting,United Kingdom
536398,22637,PIGGY BANK RETROSPOT ,2903,8,12/13/2020,2.55,4.3,13448,United Kingdom
536381,22637,PIGGY BANK RETROSPOT ,2903,1,12/13/2020,2.55,4.3,15311,United Kingdom
536582,22637,PIGGY BANK RETROSPOT ,2903,12,12/13/2020,2.55,4.3,12947,United Kingdom
536592,21486,PINK HEART DOTS HOT WATER BOTTLE,41,7,12/13/2020,4.21,6.64,Visiting,United Kingdom
536557,21486,PINK HEART DOTS HOT WATER BOTTLE,41,2,12/13/2020,3.75,5.99,17841,United Kingdom
